iter	Passed	Remaining
603	1810	1186
604	1813	1183
605	1815	1180
606	1818	1177
607	1821	1174
608	1824	1171
609	1827	1168
610	1829	1165
611	1832	1161
612	1835	1158
613	1838	1155
614	1840	1152
615	1843	1149
616	1846	1145
617	1848	1142
618	1851	1139
619	1854	1136
620	1857	1133
621	1859	1130
622	1862	1127
623	1865	1123
624	1868	1120
625	1870	1117
626	1873	1114
627	1875	1111
628	1878	1107
629	1881	1104
630	1884	1101
631	1886	1098
632	1889	1095
633	1892	1092
634	1894	1089
635	1897	1086
636	1900	1083
637	1903	1079
638	1906	1076
639	1908	1073
640	1911	1070
641	1914	1067
642	1916	1064
643	1919	1061
644	1922	1057
645	1924	1054
646	1927	1051
647	1930	1048
648	1933	1045
649	1936	1042
650	1938	1039
651	1942	1036
652	1944	1033
653	1947	1030
654	1950	1027
655	1952	1024
656	1955	1021
657	1958	1017
658	1961	1014
659	1963	1011
660	1966	1008
661	1969	1005
662	1971	1002
663	1974	999
664	1977	996
665	1979	992
666	1982	989
667	1985	986
668	1987	983
669	1990	980
670	1993	977
671	1995	974
672	1998	970
673	2001	967
674	2003	964
675	2006	961
676	2009	958
677	2011	955
678	2014	952
679	2017	949
680	2019	946
681	2022	943
682	2025	939
683	2027	936
684	2030	933
685	2033	930
686	2036	927
687	2038	924
688	2041	921
689	2044	918
690	2047	915
691	2049	912
692	2052	909
693	2054	906
694	2057	902
695	2060	899
696	2062	896
697	2065	893
698	2068	890
699	2070	887
700	2073	884
701	2076	881
702	2078	878
703	2081	875
704	2084	872
705	2086	869
706	2089	865
707	2092	862
708	2094	859
709	2097	856
710	2100	853
711	2102	850
712	2105	847
713	2108	844
714	2110	841
715	2113	838
716	2115	835
717	2118	832
718	2121	829
719	2124	826
720	2126	822
721	2129	819
722	2131	816
723	2134	813
724	2137	810
725	2139	807
726	2142	804
727	2145	801
728	2148	798
729	2151	795
730	2153	792
731	2156	789
732	2159	786
733	2161	783
734	2164	780
735	2167	777
736	2170	774
737	2172	771
